Loading init from /workspace/pathfinder/train/checkpoints/d5_muon/best_model.pt
Loaded d=5 H=256 L=5 376,321 params
Init LER @ 4-param p=0.007: 0.02850
  >>> saved init checkpoint (ler=0.02850)
step   9700/40000  loss=0.0533  32.7 s/s  ETA 15min
step   9800/40000  loss=0.0996  32.7 s/s  ETA 15min
step   9900/40000  loss=0.0806  32.7 s/s  ETA 15min
step  10000/40000  loss=0.0618  32.7 s/s  ETA 15min
  >>> LER @ p=0.007: 0.02700
step  10100/40000  loss=0.0740  32.7 s/s  ETA 15min
step  10200/40000  loss=0.0719  32.7 s/s  ETA 15min
step  10300/40000  loss=0.0599  32.7 s/s  ETA 15min
step  10400/40000  loss=0.1045  32.7 s/s  ETA 15min
step  10500/40000  loss=0.0683  32.7 s/s  ETA 15min
step  10600/40000  loss=0.0919  32.7 s/s  ETA 15min
step  10700/40000  loss=0.0916  32.7 s/s  ETA 15min
step  10800/40000  loss=0.0573  32.7 s/s  ETA 15min
step  10900/40000  loss=0.0773  32.7 s/s  ETA 15min
step  11000/40000  loss=0.0949  32.7 s/s  ETA 15min
step  11100/40000  loss=0.0859  32.7 s/s  ETA 15min
step  11200/40000  loss=0.0665  32.7 s/s  ETA 15min
step  11300/40000  loss=0.0863  32.7 s/s  ETA 15min
step  11400/40000  loss=0.1299  32.7 s/s  ETA 15min
step  11500/40000  loss=0.0741  32.7 s/s  ETA 15min
step  11600/40000  loss=0.0278  32.7 s/s  ETA 14min
step  11700/40000  loss=0.1075  32.7 s/s  ETA 14min
step  11800/40000  loss=0.0541  32.7 s/s  ETA 14min
step  11900/40000  loss=0.0915  32.7 s/s  ETA 14min
step  12000/40000  loss=0.1106  32.7 s/s  ETA 14min
  >>> LER @ p=0.007: 0.02990
step  12100/40000  loss=0.0715  32.7 s/s  ETA 14min
step  12200/40000  loss=0.0451  32.7 s/s  ETA 14min
step  12300/40000  loss=0.0817  32.7 s/s  ETA 14min
step  12400/40000  loss=0.0558  32.7 s/s  ETA 14min
step  12500/40000  loss=0.0853  32.7 s/s  ETA 14min
step  12600/40000  loss=0.0494  32.7 s/s  ETA 14min
step  12700/40000  loss=0.1313  32.7 s/s  ETA 14min
step  12800/40000  loss=0.1033  32.7 s/s  ETA 14min
step  12900/40000  loss=0.0669  32.7 s/s  ETA 14min
step  13000/40000  loss=0.1164  32.7 s/s  ETA 14min
step  13100/40000  loss=0.0575  32.7 s/s  ETA 14min
step  13200/40000  loss=0.0603  32.7 s/s  ETA 14min
step  13300/40000  loss=0.0942  32.7 s/s  ETA 14min
step  13400/40000  loss=0.0729  32.8 s/s  ETA 14min
step  13500/40000  loss=0.0821  32.8 s/s  ETA 13min
step  13600/40000  loss=0.0617  32.8 s/s  ETA 13min
step  13700/40000  loss=0.0696  32.8 s/s  ETA 13min
step  13800/40000  loss=0.0628  32.8 s/s  ETA 13min
step  13900/40000  loss=0.0841  32.8 s/s  ETA 13min
step  14000/40000  loss=0.0796  32.8 s/s  ETA 13min
  >>> LER @ p=0.007: 0.03060
step  14100/40000  loss=0.0920  32.8 s/s  ETA 13min
step  14200/40000  loss=0.0719  32.8 s/s  ETA 13min
step  14300/40000  loss=0.0909  32.8 s/s  ETA 13min
step  14400/40000  loss=0.0549  32.8 s/s  ETA 13min
step  14500/40000  loss=0.0894  32.8 s/s  ETA 13min
step  14600/40000  loss=0.0969  32.8 s/s  ETA 13min
step  14700/40000  loss=0.1222  32.8 s/s  ETA 13min
step  14800/40000  loss=0.0750  32.8 s/s  ETA 13min
step  14900/40000  loss=0.0868  32.8 s/s  ETA 13min
step  15000/40000  loss=0.0815  32.8 s/s  ETA 13min
step  15100/40000  loss=0.0516  32.8 s/s  ETA 13min
step  15200/40000  loss=0.0636  32.8 s/s  ETA 13min
step  15300/40000  loss=0.0890  32.8 s/s  ETA 13min
step  15400/40000  loss=0.1174  32.8 s/s  ETA 13min
step  15500/40000  loss=0.1002  32.8 s/s  ETA 12min
step  15600/40000  loss=0.1051  32.8 s/s  ETA 12min
step  15700/40000  loss=0.0783  32.8 s/s  ETA 12min
step  15800/40000  loss=0.1216  32.8 s/s  ETA 12min
step  15900/40000  loss=0.0511  32.8 s/s  ETA 12min
step  16000/40000  loss=0.0746  32.8 s/s  ETA 12min
  >>> LER @ p=0.007: 0.02810
step  16100/40000  loss=0.0682  32.8 s/s  ETA 12min
step  16200/40000  loss=0.0545  32.8 s/s  ETA 12min
step  16300/40000  loss=0.0590  32.8 s/s  ETA 12min
step  16400/40000  loss=0.0528  32.8 s/s  ETA 12min
step  16500/40000  loss=0.0754  32.7 s/s  ETA 12min
step  16600/40000  loss=0.0764  32.7 s/s  ETA 12min
step  16700/40000  loss=0.0958  32.7 s/s  ETA 12min
step  16800/40000  loss=0.1159  32.7 s/s  ETA 12min
step  16900/40000  loss=0.0790  32.7 s/s  ETA 12min
step  17000/40000  loss=0.0725  32.7 s/s  ETA 12min
step  17100/40000  loss=0.0751  32.7 s/s  ETA 12min
step  17200/40000  loss=0.1483  32.7 s/s  ETA 12min
step  17300/40000  loss=0.0533  32.7 s/s  ETA 12min
step  17400/40000  loss=0.0368  32.7 s/s  ETA 12min
step  17500/40000  loss=0.0478  32.7 s/s  ETA 11min
step  17600/40000  loss=0.0377  32.7 s/s  ETA 11min
step  17700/40000  loss=0.0971  32.7 s/s  ETA 11min
step  17800/40000  loss=0.0958  32.7 s/s  ETA 11min
step  17900/40000  loss=0.0520  32.7 s/s  ETA 11min
step  18000/40000  loss=0.0710  32.7 s/s  ETA 11min
  >>> LER @ p=0.007: 0.03010
step  18100/40000  loss=0.0330  32.7 s/s  ETA 11min
step  18200/40000  loss=0.0612  32.7 s/s  ETA 11min
step  18300/40000  loss=0.0579  32.7 s/s  ETA 11min
step  18400/40000  loss=0.0840  32.7 s/s  ETA 11min
step  18500/40000  loss=0.0841  32.6 s/s  ETA 11min
step  18600/40000  loss=0.0560  32.6 s/s  ETA 11min
step  18700/40000  loss=0.0902  32.6 s/s  ETA 11min
step  18800/40000  loss=0.0991  32.6 s/s  ETA 11min
step  18900/40000  loss=0.0645  32.6 s/s  ETA 11min
step  19000/40000  loss=0.1334  32.6 s/s  ETA 11min
step  19100/40000  loss=0.0765  32.6 s/s  ETA 11min
step  19200/40000  loss=0.0984  32.6 s/s  ETA 11min
step  19300/40000  loss=0.0658  32.6 s/s  ETA 11min
step  19400/40000  loss=0.0370  32.6 s/s  ETA 11min
step  19500/40000  loss=0.0711  32.6 s/s  ETA 10min
step  19600/40000  loss=0.0847  32.6 s/s  ETA 10min
step  19700/40000  loss=0.0417  32.6 s/s  ETA 10min
step  19800/40000  loss=0.0759  32.6 s/s  ETA 10min
step  19900/40000  loss=0.0463  32.6 s/s  ETA 10min
step  20000/40000  loss=0.0593  32.6 s/s  ETA 10min
  >>> LER @ p=0.007: 0.02550
  >>> saved (ler=0.02550)
step  20100/40000  loss=0.0809  32.6 s/s  ETA 10min
step  20200/40000  loss=0.1011  32.6 s/s  ETA 10min
step  20300/40000  loss=0.0527  32.6 s/s  ETA 10min
step  20400/40000  loss=0.1117  32.6 s/s  ETA 10min
step  20500/40000  loss=0.0614  32.6 s/s  ETA 10min
step  20600/40000  loss=0.0582  32.6 s/s  ETA 10min
step  20700/40000  loss=0.0533  32.6 s/s  ETA 10min
step  20800/40000  loss=0.0501  32.6 s/s  ETA 10min
step  20900/40000  loss=0.0638  32.6 s/s  ETA 10min
step  21000/40000  loss=0.0981  32.6 s/s  ETA 10min
step  21100/40000  loss=0.0620  32.6 s/s  ETA 10min
step  21200/40000  loss=0.1209  32.6 s/s  ETA 10min
step  21300/40000  loss=0.0723  32.6 s/s  ETA 10min
step  21400/40000  loss=0.0802  32.6 s/s  ETA 10min
step  21500/40000  loss=0.0825  32.6 s/s  ETA 9min
step  21600/40000  loss=0.0450  32.6 s/s  ETA 9min
step  21700/40000  loss=0.0872  32.6 s/s  ETA 9min
step  21800/40000  loss=0.0633  32.6 s/s  ETA 9min
step  21900/40000  loss=0.0866  32.6 s/s  ETA 9min
step  22000/40000  loss=0.1040  32.6 s/s  ETA 9min
  >>> LER @ p=0.007: 0.03100
step  22100/40000  loss=0.0670  32.6 s/s  ETA 9min
step  22200/40000  loss=0.0573  32.6 s/s  ETA 9min
step  22300/40000  loss=0.0704  32.6 s/s  ETA 9min
step  22400/40000  loss=0.0692  32.6 s/s  ETA 9min
step  22500/40000  loss=0.0543  32.6 s/s  ETA 9min
step  22600/40000  loss=0.0313  32.6 s/s  ETA 9min
step  22700/40000  loss=0.0585  32.6 s/s  ETA 9min
step  22800/40000  loss=0.0762  32.6 s/s  ETA 9min
step  22900/40000  loss=0.0653  32.6 s/s  ETA 9min
step  23000/40000  loss=0.0938  32.6 s/s  ETA 9min
step  23100/40000  loss=0.1093  32.6 s/s  ETA 9min
step  23200/40000  loss=0.0674  32.6 s/s  ETA 9min
step  23300/40000  loss=0.0863  32.6 s/s  ETA 9min
step  23400/40000  loss=0.0555  32.6 s/s  ETA 8min
step  23500/40000  loss=0.0592  32.6 s/s  ETA 8min
step  23600/40000  loss=0.0965  32.6 s/s  ETA 8min
step  23700/40000  loss=0.0626  32.6 s/s  ETA 8min
step  23800/40000  loss=0.0514  32.6 s/s  ETA 8min
step  23900/40000  loss=0.0746  32.6 s/s  ETA 8min
step  24000/40000  loss=0.0373  32.6 s/s  ETA 8min
  >>> LER @ p=0.007: 0.03220
step  24100/40000  loss=0.0350  32.6 s/s  ETA 8min
step  24200/40000  loss=0.1295  32.6 s/s  ETA 8min
step  24300/40000  loss=0.0379  32.6 s/s  ETA 8min
step  24400/40000  loss=0.0731  32.6 s/s  ETA 8min
step  24500/40000  loss=0.0510  32.6 s/s  ETA 8min
step  24600/40000  loss=0.0531  32.6 s/s  ETA 8min
step  24700/40000  loss=0.0698  32.6 s/s  ETA 8min
step  24800/40000  loss=0.0769  32.6 s/s  ETA 8min
step  24900/40000  loss=0.0568  32.6 s/s  ETA 8min
step  25000/40000  loss=0.0591  32.6 s/s  ETA 8min
step  25100/40000  loss=0.0705  32.6 s/s  ETA 8min
step  25200/40000  loss=0.0770  32.6 s/s  ETA 8min
step  25300/40000  loss=0.1064  32.6 s/s  ETA 8min
step  25400/40000  loss=0.1245  32.6 s/s  ETA 7min
step  25500/40000  loss=0.0757  32.6 s/s  ETA 7min
step  25600/40000  loss=0.1074  32.6 s/s  ETA 7min
step  25700/40000  loss=0.0512  32.6 s/s  ETA 7min
step  25800/40000  loss=0.1288  32.6 s/s  ETA 7min
step  25900/40000  loss=0.0647  32.6 s/s  ETA 7min
step  26000/40000  loss=0.0751  32.6 s/s  ETA 7min
  >>> LER @ p=0.007: 0.02850
step  26100/40000  loss=0.0938  32.6 s/s  ETA 7min
step  26200/40000  loss=0.0794  32.6 s/s  ETA 7min
step  26300/40000  loss=0.0420  32.6 s/s  ETA 7min
step  26400/40000  loss=0.0810  32.6 s/s  ETA 7min
step  26500/40000  loss=0.0749  32.6 s/s  ETA 7min
step  26600/40000  loss=0.0463  32.6 s/s  ETA 7min
step  26700/40000  loss=0.0593  32.6 s/s  ETA 7min
step  26800/40000  loss=0.0685  32.6 s/s  ETA 7min
step  26900/40000  loss=0.0626  32.6 s/s  ETA 7min
step  27000/40000  loss=0.1123  32.6 s/s  ETA 7min
step  27100/40000  loss=0.0681  32.6 s/s  ETA 7min
step  27200/40000  loss=0.0797  32.6 s/s  ETA 7min
step  27300/40000  loss=0.0733  32.6 s/s  ETA 6min
step  27400/40000  loss=0.0949  32.6 s/s  ETA 6min
step  27500/40000  loss=0.0749  32.6 s/s  ETA 6min
step  27600/40000  loss=0.0643  32.6 s/s  ETA 6min
step  27700/40000  loss=0.0421  32.6 s/s  ETA 6min
step  27800/40000  loss=0.0480  32.6 s/s  ETA 6min
step  27900/40000  loss=0.1134  32.6 s/s  ETA 6min
step  28000/40000  loss=0.0528  32.6 s/s  ETA 6min
  >>> LER @ p=0.007: 0.02900
step  28100/40000  loss=0.0659  32.6 s/s  ETA 6min
