Device: cuda
Model: d=9, H=256, L=9, 624,129 params (1.2 MB at FP16)
Optimizers: 2 (SingleDeviceMuon, AdamW)
Pre-compiling Stim samplers for curriculum... 41 samplers ready.
step   6300/80000  loss=0.3304  p=0.00070  lr=0.019779  15.4 steps/s  ETA 80min
step   6400/80000  loss=0.3468  p=0.00070  lr=0.019770  15.4 steps/s  ETA 80min
step   6500/80000  loss=0.3487  p=0.00070  lr=0.019762  15.4 steps/s  ETA 80min
step   6600/80000  loss=0.3130  p=0.00070  lr=0.019753  15.4 steps/s  ETA 80min
step   6700/80000  loss=0.3119  p=0.00070  lr=0.019744  15.4 steps/s  ETA 79min
step   6800/80000  loss=0.1918  p=0.00070  lr=0.019735  15.4 steps/s  ETA 79min
step   6900/80000  loss=0.3455  p=0.00070  lr=0.019726  15.4 steps/s  ETA 79min
step   7000/80000  loss=0.3137  p=0.00070  lr=0.019717  15.4 steps/s  ETA 79min
step   7100/80000  loss=0.3125  p=0.00070  lr=0.019707  15.4 steps/s  ETA 79min
step   7200/80000  loss=0.3465  p=0.00070  lr=0.019698  15.4 steps/s  ETA 79min
step   7300/80000  loss=0.2260  p=0.00070  lr=0.019688  15.4 steps/s  ETA 79min
step   7400/80000  loss=0.3287  p=0.00070  lr=0.019678  15.4 steps/s  ETA 79min
step   7500/80000  loss=0.2742  p=0.00070  lr=0.019668  15.4 steps/s  ETA 78min
step   7600/80000  loss=0.3700  p=0.00070  lr=0.019658  15.4 steps/s  ETA 78min
step   7700/80000  loss=0.3119  p=0.00070  lr=0.019647  15.4 steps/s  ETA 78min
step   7800/80000  loss=0.4137  p=0.00070  lr=0.019637  15.4 steps/s  ETA 78min
step   7900/80000  loss=0.3332  p=0.00070  lr=0.019626  15.4 steps/s  ETA 78min
step   8000/80000  loss=0.3111  p=0.00070  lr=0.019615  15.4 steps/s  ETA 78min
  >>> EVAL LER at p=0.007: 0.424300
step   8100/80000  loss=0.2930  p=0.00070  lr=0.019604  15.4 steps/s  ETA 78min
step   8200/80000  loss=0.3317  p=0.00070  lr=0.019593  15.4 steps/s  ETA 78min
step   8300/80000  loss=0.2188  p=0.00070  lr=0.019582  15.4 steps/s  ETA 78min
step   8400/80000  loss=0.2456  p=0.00070  lr=0.019570  15.4 steps/s  ETA 78min
step   8500/80000  loss=0.2742  p=0.00070  lr=0.019559  15.4 steps/s  ETA 78min
step   8600/80000  loss=0.2592  p=0.00070  lr=0.019547  15.4 steps/s  ETA 77min
step   8700/80000  loss=0.3125  p=0.00070  lr=0.019535  15.4 steps/s  ETA 77min
step   8800/80000  loss=0.3286  p=0.00070  lr=0.019523  15.4 steps/s  ETA 77min
step   8900/80000  loss=0.2356  p=0.00070  lr=0.019511  15.4 steps/s  ETA 77min
step   9000/80000  loss=0.3810  p=0.00070  lr=0.019498  15.4 steps/s  ETA 77min
step   9100/80000  loss=0.5006  p=0.00070  lr=0.019486  15.4 steps/s  ETA 77min
step   9200/80000  loss=0.2742  p=0.00070  lr=0.019473  15.4 steps/s  ETA 77min
step   9300/80000  loss=0.2932  p=0.00070  lr=0.019460  15.4 steps/s  ETA 77min
step   9400/80000  loss=0.2745  p=0.00070  lr=0.019447  15.4 steps/s  ETA 76min
step   9500/80000  loss=0.2935  p=0.00070  lr=0.019434  15.4 steps/s  ETA 76min
step   9600/80000  loss=0.2742  p=0.00070  lr=0.019421  15.4 steps/s  ETA 76min
step   9700/80000  loss=0.2547  p=0.00070  lr=0.019407  15.4 steps/s  ETA 76min
step   9800/80000  loss=0.2934  p=0.00070  lr=0.019394  15.4 steps/s  ETA 76min
step   9900/80000  loss=0.2930  p=0.00070  lr=0.019380  15.4 steps/s  ETA 76min
step  10000/80000  loss=0.3310  p=0.00070  lr=0.019366  15.4 steps/s  ETA 76min
  >>> EVAL LER at p=0.007: 0.430500
step  10100/80000  loss=0.4377  p=0.00070  lr=0.019352  15.4 steps/s  ETA 76min
step  10200/80000  loss=0.3117  p=0.00070  lr=0.019338  15.4 steps/s  ETA 76min
step  10300/80000  loss=0.2555  p=0.00070  lr=0.019324  15.4 steps/s  ETA 75min
step  10400/80000  loss=0.3668  p=0.00070  lr=0.019309  15.4 steps/s  ETA 75min
