Loading init from /workspace/pathfinder/train/checkpoints/d3_muon/best_model.pt
Loaded d=3 H=256 L=3 252,417 params
Init LER @ 4-param p=0.007: 0.02990
  >>> saved init checkpoint (ler=0.02990)
step   9600/40000  loss=0.0915  53.7 s/s  ETA 9min
step   9700/40000  loss=0.0847  53.7 s/s  ETA 9min
step   9800/40000  loss=0.0754  53.7 s/s  ETA 9min
step   9900/40000  loss=0.0632  53.7 s/s  ETA 9min
step  10000/40000  loss=0.0655  53.7 s/s  ETA 9min
  >>> LER @ p=0.007: 0.02830
step  10100/40000  loss=0.0568  53.6 s/s  ETA 9min
step  10200/40000  loss=0.0897  53.6 s/s  ETA 9min
step  10300/40000  loss=0.0802  53.6 s/s  ETA 9min
step  10400/40000  loss=0.0654  53.6 s/s  ETA 9min
step  10500/40000  loss=0.1072  53.6 s/s  ETA 9min
step  10600/40000  loss=0.1039  53.6 s/s  ETA 9min
step  10700/40000  loss=0.1063  53.6 s/s  ETA 9min
step  10800/40000  loss=0.0662  53.6 s/s  ETA 9min
step  10900/40000  loss=0.1071  53.6 s/s  ETA 9min
step  11000/40000  loss=0.0956  53.6 s/s  ETA 9min
step  11100/40000  loss=0.1092  53.6 s/s  ETA 9min
step  11200/40000  loss=0.0805  53.6 s/s  ETA 9min
step  11300/40000  loss=0.0701  53.6 s/s  ETA 9min
step  11400/40000  loss=0.1240  53.6 s/s  ETA 9min
step  11500/40000  loss=0.0756  53.6 s/s  ETA 9min
step  11600/40000  loss=0.1018  53.6 s/s  ETA 9min
step  11700/40000  loss=0.0672  53.6 s/s  ETA 9min
step  11800/40000  loss=0.0920  53.6 s/s  ETA 9min
step  11900/40000  loss=0.0571  53.6 s/s  ETA 9min
step  12000/40000  loss=0.0836  53.6 s/s  ETA 9min
  >>> LER @ p=0.007: 0.02560
  >>> saved (ler=0.02560)
step  12100/40000  loss=0.0673  53.6 s/s  ETA 9min
step  12200/40000  loss=0.1300  53.6 s/s  ETA 9min
step  12300/40000  loss=0.0664  53.6 s/s  ETA 9min
step  12400/40000  loss=0.0605  53.6 s/s  ETA 9min
step  12500/40000  loss=0.0699  53.5 s/s  ETA 9min
step  12600/40000  loss=0.0735  53.5 s/s  ETA 9min
step  12700/40000  loss=0.0859  53.5 s/s  ETA 9min
step  12800/40000  loss=0.0475  53.5 s/s  ETA 8min
step  12900/40000  loss=0.0875  53.5 s/s  ETA 8min
step  13000/40000  loss=0.0855  53.5 s/s  ETA 8min
step  13100/40000  loss=0.0672  53.5 s/s  ETA 8min
step  13200/40000  loss=0.0814  53.5 s/s  ETA 8min
step  13300/40000  loss=0.0630  53.5 s/s  ETA 8min
step  13400/40000  loss=0.0748  53.5 s/s  ETA 8min
step  13500/40000  loss=0.0534  53.5 s/s  ETA 8min
step  13600/40000  loss=0.0956  53.5 s/s  ETA 8min
step  13700/40000  loss=0.0728  53.5 s/s  ETA 8min
step  13800/40000  loss=0.0720  53.5 s/s  ETA 8min
step  13900/40000  loss=0.0883  53.5 s/s  ETA 8min
step  14000/40000  loss=0.0736  53.5 s/s  ETA 8min
  >>> LER @ p=0.007: 0.02960
step  14100/40000  loss=0.0825  53.5 s/s  ETA 8min
step  14200/40000  loss=0.0809  53.5 s/s  ETA 8min
step  14300/40000  loss=0.0961  53.5 s/s  ETA 8min
step  14400/40000  loss=0.0763  53.5 s/s  ETA 8min
step  14500/40000  loss=0.0756  53.5 s/s  ETA 8min
step  14600/40000  loss=0.0763  53.5 s/s  ETA 8min
