PathfinderHybrid d=7 H=192 L=7 heads=8 attn_every=2: 4,355,521 params
Pre-compiled 41 samplers (4-parameter noise).
Optimizer split: 2,543,808 Muon params, 1,811,713 AdamW params
step  15800/80000  loss=0.0051  p=0.00070  7.7 s/s  ETA 139min
step  16000/80000  loss=0.0101  p=0.00070  7.7 s/s  ETA 139min
  >>> LER @ p=0.007: 0.21620
  >>> saved (ler=0.21620)
step  16200/80000  loss=0.0009  p=0.00072  7.7 s/s  ETA 139min
step  16400/80000  loss=0.0009  p=0.00073  7.7 s/s  ETA 138min
step  16600/80000  loss=0.0008  p=0.00075  7.7 s/s  ETA 138min
step  16800/80000  loss=0.0082  p=0.00077  7.7 s/s  ETA 137min
step  17000/80000  loss=0.0125  p=0.00079  7.7 s/s  ETA 137min
step  17200/80000  loss=0.0071  p=0.00080  7.7 s/s  ETA 137min
step  17400/80000  loss=0.0073  p=0.00082  7.7 s/s  ETA 136min
step  17600/80000  loss=0.0003  p=0.00084  7.7 s/s  ETA 136min
step  17800/80000  loss=0.0149  p=0.00086  7.7 s/s  ETA 135min
step  18000/80000  loss=0.0015  p=0.00088  7.7 s/s  ETA 135min
step  18200/80000  loss=0.0005  p=0.00089  7.7 s/s  ETA 134min
step  18400/80000  loss=0.0179  p=0.00091  7.7 s/s  ETA 134min
step  18600/80000  loss=0.0460  p=0.00093  7.7 s/s  ETA 134min
step  18800/80000  loss=0.0035  p=0.00094  7.7 s/s  ETA 133min
step  19000/80000  loss=0.0036  p=0.00096  7.7 s/s  ETA 133min
step  19200/80000  loss=0.0110  p=0.00098  7.7 s/s  ETA 132min
step  19400/80000  loss=0.0039  p=0.00100  7.7 s/s  ETA 132min
step  19600/80000  loss=0.0065  p=0.00101  7.7 s/s  ETA 131min
step  19800/80000  loss=0.0018  p=0.00103  7.7 s/s  ETA 131min
step  20000/80000  loss=0.0100  p=0.00105  7.7 s/s  ETA 131min
  >>> LER @ p=0.007: 0.21350
  >>> saved (ler=0.21350)
step  20200/80000  loss=0.0139  p=0.00107  7.7 s/s  ETA 130min
step  20400/80000  loss=0.0028  p=0.00109  7.7 s/s  ETA 130min
step  20600/80000  loss=0.0042  p=0.00110  7.7 s/s  ETA 129min
step  20800/80000  loss=0.0067  p=0.00112  7.7 s/s  ETA 129min
step  21000/80000  loss=0.0024  p=0.00114  7.7 s/s  ETA 128min
step  21200/80000  loss=0.0078  p=0.00115  7.7 s/s  ETA 128min
step  21400/80000  loss=0.0029  p=0.00117  7.7 s/s  ETA 128min
