Loading init from /workspace/pathfinder/train/checkpoints/d7_final/best_model.pt
Loaded d=7 H=256 L=7 500,225 params
Init LER @ 4-param p=0.007: 0.04130
  >>> saved init checkpoint (ler=0.04130)
step   9600/40000  loss=0.0622  19.3 s/s  ETA 26min
step   9700/40000  loss=0.0552  19.3 s/s  ETA 26min
step   9800/40000  loss=0.0982  19.3 s/s  ETA 26min
step   9900/40000  loss=0.1401  19.3 s/s  ETA 26min
step  10000/40000  loss=0.1442  19.3 s/s  ETA 26min
  >>> LER @ p=0.007: 0.03880
  >>> saved (ler=0.03880)
step  10100/40000  loss=0.0956  19.3 s/s  ETA 26min
step  10200/40000  loss=0.1608  19.3 s/s  ETA 26min
step  10300/40000  loss=0.1136  19.3 s/s  ETA 26min
step  10400/40000  loss=0.0584  19.3 s/s  ETA 26min
step  10500/40000  loss=0.0997  19.3 s/s  ETA 26min
step  10600/40000  loss=0.0991  19.3 s/s  ETA 25min
step  10700/40000  loss=0.0996  19.3 s/s  ETA 25min
step  10800/40000  loss=0.0890  19.3 s/s  ETA 25min
step  10900/40000  loss=0.0951  19.3 s/s  ETA 25min
step  11000/40000  loss=0.0990  19.3 s/s  ETA 25min
step  11100/40000  loss=0.0879  19.3 s/s  ETA 25min
step  11200/40000  loss=0.0801  19.3 s/s  ETA 25min
step  11300/40000  loss=0.1180  19.3 s/s  ETA 25min
step  11400/40000  loss=0.0766  19.3 s/s  ETA 25min
step  11500/40000  loss=0.0973  19.3 s/s  ETA 25min
step  11600/40000  loss=0.0561  19.3 s/s  ETA 25min
step  11700/40000  loss=0.0815  19.3 s/s  ETA 24min
step  11800/40000  loss=0.0643  19.3 s/s  ETA 24min
step  11900/40000  loss=0.0607  19.3 s/s  ETA 24min
step  12000/40000  loss=0.0789  19.3 s/s  ETA 24min
  >>> LER @ p=0.007: 0.03870
  >>> saved (ler=0.03870)
step  12100/40000  loss=0.1079  19.3 s/s  ETA 24min
step  12200/40000  loss=0.1164  19.3 s/s  ETA 24min
step  12300/40000  loss=0.1047  19.3 s/s  ETA 24min
step  12400/40000  loss=0.1172  19.3 s/s  ETA 24min
step  12500/40000  loss=0.1178  19.3 s/s  ETA 24min
step  12600/40000  loss=0.1043  19.3 s/s  ETA 24min
step  12700/40000  loss=0.0710  19.3 s/s  ETA 24min
step  12800/40000  loss=0.0861  19.3 s/s  ETA 23min
step  12900/40000  loss=0.0741  19.3 s/s  ETA 23min
step  13000/40000  loss=0.1075  19.3 s/s  ETA 23min
step  13100/40000  loss=0.0800  19.3 s/s  ETA 23min
step  13200/40000  loss=0.1245  19.3 s/s  ETA 23min
step  13300/40000  loss=0.1084  19.3 s/s  ETA 23min
step  13400/40000  loss=0.0833  19.3 s/s  ETA 23min
step  13500/40000  loss=0.1184  19.3 s/s  ETA 23min
step  13600/40000  loss=0.1166  19.3 s/s  ETA 23min
step  13700/40000  loss=0.0915  19.3 s/s  ETA 23min
step  13800/40000  loss=0.0614  19.3 s/s  ETA 23min
step  13900/40000  loss=0.0970  19.3 s/s  ETA 23min
step  14000/40000  loss=0.0864  19.3 s/s  ETA 22min
  >>> LER @ p=0.007: 0.03820
  >>> saved (ler=0.03820)
step  14100/40000  loss=0.1534  19.3 s/s  ETA 22min
step  14200/40000  loss=0.0999  19.3 s/s  ETA 22min
step  14300/40000  loss=0.1051  19.3 s/s  ETA 22min
step  14400/40000  loss=0.1180  19.3 s/s  ETA 22min
step  14500/40000  loss=0.1016  19.3 s/s  ETA 22min
step  14600/40000  loss=0.0873  19.3 s/s  ETA 22min
step  14700/40000  loss=0.1140  19.3 s/s  ETA 22min
step  14800/40000  loss=0.1031  19.3 s/s  ETA 22min
step  14900/40000  loss=0.0993  19.3 s/s  ETA 22min
step  15000/40000  loss=0.1281  19.3 s/s  ETA 22min
step  15100/40000  loss=0.0758  19.3 s/s  ETA 21min
step  15200/40000  loss=0.0921  19.3 s/s  ETA 21min
step  15300/40000  loss=0.0894  19.3 s/s  ETA 21min
step  15400/40000  loss=0.0996  19.3 s/s  ETA 21min
step  15500/40000  loss=0.1118  19.3 s/s  ETA 21min
step  15600/40000  loss=0.0571  19.3 s/s  ETA 21min
step  15700/40000  loss=0.0666  19.3 s/s  ETA 21min
step  15800/40000  loss=0.0946  19.3 s/s  ETA 21min
step  15900/40000  loss=0.1448  19.3 s/s  ETA 21min
step  16000/40000  loss=0.0740  19.3 s/s  ETA 21min
  >>> LER @ p=0.007: 0.04420
step  16100/40000  loss=0.1121  19.3 s/s  ETA 21min
step  16200/40000  loss=0.1296  19.3 s/s  ETA 21min
step  16300/40000  loss=0.0804  19.3 s/s  ETA 20min
step  16400/40000  loss=0.0645  19.3 s/s  ETA 20min
step  16500/40000  loss=0.0945  19.3 s/s  ETA 20min
step  16600/40000  loss=0.0786  19.3 s/s  ETA 20min
step  16700/40000  loss=0.0693  19.3 s/s  ETA 20min
step  16800/40000  loss=0.1375  19.3 s/s  ETA 20min
step  16900/40000  loss=0.0784  19.3 s/s  ETA 20min
step  17000/40000  loss=0.0999  19.3 s/s  ETA 20min
step  17100/40000  loss=0.0614  19.3 s/s  ETA 20min
step  17200/40000  loss=0.1179  19.3 s/s  ETA 20min
